id,instruction,gold_tool,pred_tool,tool_correct,argument_f1,normalized_argument_f1,exact_match,normalized_exact_match,json_success,hallucinated_tool,gold_action,pred_action,error
1,내일 오후 2시에 팀 회의 일정 잡아줘.,calendar.create_event,calendar.create_event,True,0.6666666666666666,1.0,False,True,True,False,"{""arguments"": {""date"": ""내일"", ""time"": ""14:00"", ""title"": ""팀 회의""}, ""tool_name"": ""calendar.create_event""}","{""arguments"": {""date"": ""내일"", ""time"": ""오후 2시"", ""title"": ""팀 회의""}, ""tool_name"": ""calendar.create_event""}",
2,금요일 오전 10시에 프로젝트 킥오프 캘린더에 추가해줘.,calendar.create_event,calendar.create_event,True,0.6666666666666666,1.0,False,True,True,False,"{""arguments"": {""date"": ""금요일"", ""time"": ""10:00"", ""title"": ""프로젝트 킥오프""}, ""tool_name"": ""calendar.create_event""}","{""arguments"": {""date"": ""금요일"", ""time"": ""오전 10시"", ""title"": ""프로젝트 킥오프""}, ""tool_name"": ""calendar.create_event""}",
3,다음 주 월요일 3시에 민수와 면담 일정 만들어줘.,calendar.create_event,calendar.create_event,True,0.6666666666666666,0.8571428571428571,False,False,True,False,"{""arguments"": {""date"": ""다음 주 월요일"", ""time"": ""15:00"", ""title"": ""민수와 면담""}, ""tool_name"": ""calendar.create_event""}","{""arguments"": {""date"": ""다음 주 월요일"", ""time"": ""3시"", ""title"": ""민수와 면담""}, ""tool_name"": ""calendar.create_event""}",
4,오늘 저녁 7시에 가족 식사 일정 등록해줘.,calendar.create_event,calendar.create_event,True,1.0,1.0,True,True,True,False,"{""arguments"": {""date"": ""오늘"", ""time"": ""19:00"", ""title"": ""가족 식사""}, ""tool_name"": ""calendar.create_event""}","{""arguments"": {""date"": ""오늘"", ""time"": ""19:00"", ""title"": ""가족 식사""}, ""tool_name"": ""calendar.create_event""}",
5,내일 잡힌 팀 회의를 오후 4시로 바꿔줘.,calendar.update_event,calendar.update_event,True,0.6666666666666666,1.0,False,True,True,False,"{""arguments"": {""date"": ""내일"", ""event"": ""팀 회의"", ""time"": ""16:00""}, ""tool_name"": ""calendar.update_event""}","{""arguments"": {""date"": ""내일"", ""event"": ""팀 회의"", ""time"": ""오후 4시""}, ""tool_name"": ""calendar.update_event""}",
6,금요일 발표 일정을 다음 주 화요일 오전 9시로 변경해줘.,calendar.update_event,calendar.update_event,True,0.3333333333333333,0.6666666666666666,False,False,True,False,"{""arguments"": {""date"": ""다음 주 화요일"", ""event"": ""발표"", ""time"": ""09:00""}, ""tool_name"": ""calendar.update_event""}","{""arguments"": {""date"": ""다음 주 화요일"", ""event"": ""금요일 발표 일정"", ""time"": ""오전 9시""}, ""tool_name"": ""calendar.update_event""}",
7,회의 시간을 30분 늦춰서 오후 2시 30분으로 수정해줘.,calendar.update_event,calendar.update_event,True,0.0,0.0,False,False,True,False,"{""arguments"": {""date"": """", ""event"": ""회의"", ""time"": ""14:30""}, ""tool_name"": ""calendar.update_event""}","{""arguments"": {""time"": ""2:30 PM""}, ""tool_name"": ""calendar.update_event""}",
8,내일 서울 비 와?,weather.search,weather.search,True,1.0,1.0,True,True,True,False,"{""arguments"": {""date"": ""내일"", ""location"": ""서울""}, ""tool_name"": ""weather.search""}","{""arguments"": {""date"": ""내일"", ""location"": ""서울""}, ""tool_name"": ""weather.search""}",
9,이번 주말 부산 날씨 알려줘.,weather.search,weather.search,True,1.0,1.0,True,True,True,False,"{""arguments"": {""date"": ""이번 주말"", ""location"": ""부산""}, ""tool_name"": ""weather.search""}","{""arguments"": {""date"": ""이번 주말"", ""location"": ""부산""}, ""tool_name"": ""weather.search""}",
10,오늘 제주도 기온이 몇 도야?,weather.search,weather.search,True,1.0,1.0,True,True,True,False,"{""arguments"": {""date"": ""오늘"", ""location"": ""제주도""}, ""tool_name"": ""weather.search""}","{""arguments"": {""date"": ""오늘"", ""location"": ""제주도""}, ""tool_name"": ""weather.search""}",
11,퇴근길에 강남에 비 오는지 확인해줘.,weather.search,weather.search,True,1.0,1.0,True,True,True,False,"{""arguments"": {""date"": ""오늘"", ""location"": ""강남""}, ""tool_name"": ""weather.search""}","{""arguments"": {""date"": ""오늘"", ""location"": ""강남""}, ""tool_name"": ""weather.search""}",
