id,instruction,gold_tool,pred_tool,tool_correct,argument_f1,normalized_argument_f1,exact_match,normalized_exact_match,json_success,hallucinated_tool,gold_action,pred_action,error
1,내일 오후 2시에 팀 회의 일정 잡아줘.,calendar.create_event,translate.text,False,0.0,0.0,False,False,True,False,"{""arguments"": {""date"": ""내일"", ""time"": ""14:00"", ""title"": ""팀 회의""}, ""tool_name"": ""calendar.create_event""}","{""arguments"": {}, ""tool_name"": ""translate.text""}",
2,금요일 오전 10시에 프로젝트 킥오프 캘린더에 추가해줘.,calendar.create_event,calendar.update_event,False,0.0,0.0,False,False,True,False,"{""arguments"": {""date"": ""금요일"", ""time"": ""10:00"", ""title"": ""프로젝트 킥오프""}, ""tool_name"": ""calendar.create_event""}","{""arguments"": {}, ""tool_name"": ""calendar.update_event""}",
3,다음 주 월요일 3시에 민수와 면담 일정 만들어줘.,calendar.create_event,calendar.create_event,True,0.0,0.0,False,False,True,False,"{""arguments"": {""date"": ""다음 주 월요일"", ""time"": ""15:00"", ""title"": ""민수와 면담""}, ""tool_name"": ""calendar.create_event""}","{""arguments"": {}, ""tool_name"": ""calendar.create_event""}",
4,오늘 저녁 7시에 가족 식사 일정 등록해줘.,calendar.create_event,calculator.calculate,False,0.0,0.0,False,False,True,False,"{""arguments"": {""date"": ""오늘"", ""time"": ""19:00"", ""title"": ""가족 식사""}, ""tool_name"": ""calendar.create_event""}","{""arguments"": {}, ""tool_name"": ""calculator.calculate""}",
5,내일 잡힌 팀 회의를 오후 4시로 바꿔줘.,calendar.update_event,slack.send_message,False,0.0,0.0,False,False,True,False,"{""arguments"": {""date"": ""내일"", ""event"": ""팀 회의"", ""time"": ""16:00""}, ""tool_name"": ""calendar.update_event""}","{""arguments"": {}, ""tool_name"": ""slack.send_message""}",
6,금요일 발표 일정을 다음 주 화요일 오전 9시로 변경해줘.,calendar.update_event,email.send,False,0.0,0.0,False,False,True,False,"{""arguments"": {""date"": ""다음 주 화요일"", ""event"": ""발표"", ""time"": ""09:00""}, ""tool_name"": ""calendar.update_event""}","{""arguments"": {}, ""tool_name"": ""email.send""}",
7,회의 시간을 30분 늦춰서 오후 2시 30분으로 수정해줘.,calendar.update_event,email.send,False,0.0,0.0,False,False,True,False,"{""arguments"": {""date"": """", ""event"": ""회의"", ""time"": ""14:30""}, ""tool_name"": ""calendar.update_event""}","{""arguments"": {}, ""tool_name"": ""email.send""}",
8,내일 서울 비 와?,weather.search,weather.search,True,0.0,0.0,False,False,True,False,"{""arguments"": {""date"": ""내일"", ""location"": ""서울""}, ""tool_name"": ""weather.search""}","{""arguments"": {}, ""tool_name"": ""weather.search""}",
9,이번 주말 부산 날씨 알려줘.,weather.search,calculator.calculate,False,0.0,0.0,False,False,True,False,"{""arguments"": {""date"": ""이번 주말"", ""location"": ""부산""}, ""tool_name"": ""weather.search""}","{""arguments"": {}, ""tool_name"": ""calculator.calculate""}",
10,오늘 제주도 기온이 몇 도야?,weather.search,calendar.update_event,False,0.0,0.0,False,False,True,False,"{""arguments"": {""date"": ""오늘"", ""location"": ""제주도""}, ""tool_name"": ""weather.search""}","{""arguments"": {}, ""tool_name"": ""calendar.update_event""}",
11,퇴근길에 강남에 비 오는지 확인해줘.,weather.search,translate.text,False,0.0,0.0,False,False,True,False,"{""arguments"": {""date"": ""오늘"", ""location"": ""강남""}, ""tool_name"": ""weather.search""}","{""arguments"": {}, ""tool_name"": ""translate.text""}",
12,교수님께 과제 제출 메일 보내줘.,email.send,calculator.calculate,False,0.0,0.0,False,False,True,False,"{""arguments"": {""body"": ""과제 제출드립니다."", ""recipient"": ""교수님"", ""subject"": ""과제 제출""}, ""tool_name"": ""email.send""}","{""arguments"": {}, ""tool_name"": ""calculator.calculate""}",
13,지영 씨에게 회의록 공유한다고 이메일 보내줘.,email.send,todo.create_task,False,0.0,0.0,False,False,True,False,"{""arguments"": {""body"": ""회의록을 공유드립니다."", ""recipient"": ""지영 씨"", ""subject"": ""회의록 공유""}, ""tool_name"": ""email.send""}","{""arguments"": {}, ""tool_name"": ""todo.create_task""}",
14,인사팀에 휴가 신청 메일 작성해서 보내줘.,email.send,calendar.update_event,False,0.0,0.0,False,False,True,False,"{""arguments"": {""body"": ""휴가를 신청합니다."", ""recipient"": ""인사팀"", ""subject"": ""휴가 신청""}, ""tool_name"": ""email.send""}","{""arguments"": {}, ""tool_name"": ""calendar.update_event""}",
15,고객사에 견적서 전달 메일 보내줘.,email.send,map.search_place,False,0.0,0.0,False,False,True,False,"{""arguments"": {""body"": ""견적서를 전달드립니다."", ""recipient"": ""고객사"", ""subject"": ""견적서 전달""}, ""tool_name"": ""email.send""}","{""arguments"": {}, ""tool_name"": ""map.search_place""}",
16,요즘 생성형 AI 규제 동향 검색해줘.,web.search,web.search,True,0.0,0.0,False,False,True,False,"{""arguments"": {""query"": ""생성형 AI 규제 동향""}, ""tool_name"": ""web.search""}","{""arguments"": {}, ""tool_name"": ""web.search""}",
17,내일까지 보고서 초안 작성 작업 추가해줘.,todo.create_task,calendar.create_event,False,0.0,0.0,False,False,True,False,"{""arguments"": {""due_date"": ""내일"", ""task"": ""보고서 초안 작성""}, ""tool_name"": ""todo.create_task""}","{""arguments"": {}, ""tool_name"": ""calendar.create_event""}",
18,이번 주 할 일에 테스트 케이스 정리 넣어줘.,todo.create_task,calendar.create_event,False,0.0,0.0,False,False,True,False,"{""arguments"": {""due_date"": ""이번 주"", ""task"": ""테스트 케이스 정리""}, ""tool_name"": ""todo.create_task""}","{""arguments"": {}, ""tool_name"": ""calendar.create_event""}",
19,"내일 오후 1시에 병원 예약 일정 넣고, 까먹지 않게 알려줘.",calendar.create_event,calendar.update_event,False,0.0,0.0,False,False,True,False,"{""arguments"": {""date"": ""내일"", ""time"": ""13:00"", ""title"": ""병원 예약""}, ""tool_name"": ""calendar.create_event""}","{""arguments"": {}, ""tool_name"": ""calendar.update_event""}",
